Clinic,Address,City,St,Zip,Website,Phone,Phone2
Knoxville Health Center (Planned Parenthood of Tennessee and North Mississippi),710 N. Cherry St.,Knoxville,TN,37914,https://pptnm.org,(866) 711-1717,
"Lakeland Women's Health Center, Inc.",4444 South Florida Avenue,Lakeland,FL,33813,http://floridaabortion.com,(863) 644-7541,(800) 733-7541
"Las Vegas East Flamingo Health Center (Planned Parenthood of the Rocky Mountains, Inc.)",3300 E. Flamingo Road,Las Vegas,NV,89121,http://pprm.org,(702) 547-9888,
"Las Vegas West Charleston Health Center (Planned Parenthood of the Rocky Mountains, Inc.)",3220 W. Charleston Blvd.,Las Vegas,NV,89102,https://pprm.org,702-878-7776,
Lincoln South Health Center (Planned Parenthood North Central States),5631 S. 48th Street,Lincoln,NE,98516,https://ppncs.org,(877) 811-7526,
Little Rock Family Planning Services,4 Office Park Drive,Little Rock,AR,72211,http://lrfps.com,(501) 225-3836,(800) 272-2183
"Littleton (Planned Parenthood of the Rocky Mountains, Inc.)",131 W. Country Line Rd.,Littleton,CO,80129,http://pprm.org,(303) 798-0963,
Mabel Wadsworth Women's Health Center,700 Mt. Hope Ave.,Bangor,ME,04401,http://mabelwadsworth.org,(207) 947-5337,(800) 948-5337
Maimonides Medical Center,967 48th Street,Brooklyn,NY,11219,,(718) 283-8959,
"Maine Family Planning, Augusta",43 Gabriel Dr.,Augusta,ME,04330,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Bangor",68 Mount Hope Ave,Bangor,ME,04401,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Belfast",147 Waldo Ave.,Belfast,ME,04915,https://mainefamilyplanning.org/,(207) 626-3243,
"Maine Family Planning, Calais",43 Union Street,Calais,ME,04619,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Damariscotta",767 Main Street,Damariscotta,ME,04543,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Dexter",311 Corinna Road,Dexter,ME,04930,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Ellsworth",248 State Street,Ellsworth,ME,04605,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Farmington",193 Front Street,Farmington,ME,04938,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Fort Kent",139 Market Street,Forth Kent,ME,04743,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Houlton",91 Military Street,Houlton,ME,04730,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Lewiston",179 Lisbon Street,Lewiston,ME,04240,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Machias",247 Main Street,Machias,ME,04654,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Norway",9 Marston Street,Norway,ME,04268,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Presque Isle",5 Martin Street,Presque Isle,ME,04769,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Rockland",22 White Street,Rockland,ME,04841,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Rumford",218 Penobscot Street,Rumford,ME,04276,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Skowhegan",188 Madison Avenue,Skowhegan,ME,04976,http://MaineFamilyPlanning.org,(207) 626-3243,
"Maine Family Planning, Waterville",18 Silver Street,Waterville,ME,04901,http://MaineFamilyPlanning.org,(207) 626-3243,
Manchester Health Center (Planned Parenthood of Northern New England),24 Pennacook St.,Manchester,NH,03104,http://ppnne.org,(603) 669-7321,
Memphis Health Center (Planned Parenthood of Tennessee and North Mississippi),2430 Poplar Avenue,Memphis,TN,38112,https://pptnm.org,(866) 711-1717,
Merrimack Valley Women's Health Services,288 Groveland St,Haverhill,MA,01830,http://merrimackvalleywomenshealth.com,(978) 688-7222,
Metropolitan Surgical Associates,40 Engle St.,Englewood,NJ,07631,https://metropolitanmedicalassociates.com/,(201) 567-0522,
Milwaukie-Oak Grove Health Center (Planned Parenthood Columbia Willamette),14411 SE McLoughlin Blvd,Milwaukie,OR,97267,https://ppcw.org,(888) 875-7820,
Minneapolis Health Center (Planned Parenthood North Central States),1200 Lagoon Avenue,Minneapolis,MN,55408,https://ppncs.org,(612) 823-6300,
"Morristown Health Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",196 Speedwell Avenue,Morristown,NJ,07960,https://ppncsnj.org,(973) 539-1364,
Mount Vernon Health Center (Mt. Baker Planned Parenthood),1805 E Division Street,Mount Vernon,WA,98274,https://mbpp.org,(360) 848-1744,
Mt. Auburn Health Center (Planned Parenthood Southwest Ohio Region),3414 Auburn Ave,Cincinnati,OH,45219,https://ppswo.org,(513) 287-6484,
"My Choice Medical Center, Inc.",7232 Van Nuys Blvd.,Van Nuys,CA,91405,http://mychoicemedicalcenter.com,(866) 397-3070,
Naples Health Center (Planned Parenthood of Southwest and Central Florida),1425 Creech Rd,Naples,FL,34103,https://ppswcf.org/,(239) 262-0301,
Nashville Health Center (Planned Parenthood of Tennessee and North Mississppi),412 Dr. DB Todd Jr. Blvd.,Nashville,TN,37203,https://pptnm.org,(866) 711-1717,
NE Portland Health Center (Planned Parenthood Columbia Willamette),3727 NE Martin Luther King Jr. Boulevard,Portland,OR,97212,http://ppcw.org,(888) 875-7820,
"New Brunswick Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",10B Industrial Drive,New Brunswick,NJ,08901,https://ppncsnj.org,(732) 246-2411,
"Newton Health Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",8 Moran Street,Newton,NJ,07860,https://ppncsnj.org,(973) 383-5218,
Niagara Falls – Portage Health Center (Planned Parenthood of Central and Western New York),750 Portage Road,Niagara Falls,NY,14301,https://ppcwny.org,(716) 831-2200,
North Durham Women's Health,400 Crutchfield St.,Durham,NC,27704,http://northdurhamwomenshealth.com,(919) 908-6449,(855) 443-4892
North Florida Women's Services,1345 Cross Creek Circle,Tallahassee,FL,32301,http://northfloridawomenshealth.com,(850) 877-3183,
North Tampa Health Center (Planned Parenthood of Southwest and Central Florida),236 E. Bearss Avenue,Tampa,FL,33613,https://ppswcf.org/,(813) 443-9694,
North Tonawanda Health Center (Planned Parenthood of Central and Western New York),15 Webster Street,North Tonawanda,NY,14120,https://ppcwny.org,(716) 831-2200,(800) 230-7526
Northeast Ohio Women's Center-Cuyahoga Falls,2127 State Rd.,Cuyahoga Falls,OH,44223,https://northeastohioabortion.com/,(330) 923-4009,
Northeast Ohio Women's Center-Shaker Heights,3461 Warrensville Center Road,Shaker Heights,OH,44122,https://northeastohioabortion.com/,(330) 923-4009,
Northland Family Planning Center-East/Sterling Heights,3810 17 Mile Road,East Sterling Heights,MI,48310,http://northlandfamilyplanning.com,(586) 268-1700,(800) 447-7354 (MI)
Northland Family Planning Center-Southfield,24450 Evergreen Rd.,Southfield,MI,48075,http://northlandfamilyplanning.com,(248) 559-0590,(800) 447-7354 (MI)
Northland Family Planning Center-Westland,35000 Ford Rd.,Westland,MI,48185,http://northlandfamilyplanning.com,(734) 721-4700,(800) 447-7354 (MI)
Obstetrics and Gynecology Care Center,2 Dudley St.,Providence,RI,02905,http://www.womenandinfants.org/,(401) 274-1122 ext. 2748,
Office of Boris Orkin,18 Queens Circle,Boston,MA,02067,http://abortion-clinic-boston.com,(888) 410-3678,
"Office of Michael J. Benjamin, M.D.",7777 North University Dr.,Ft. Lauderdale,FL,33321,http://drbenjamin.com,(954) 720-7777,(888) 808-7581
Old National Gynecology,6210 Old National Highway,College Park,GA,30349,http://www.atlanta-abortion-clinic.com/,(770) 991-7552,
Oregon Health & Science University,3181 SW Sam Jackson Park Rd,Portland,OR,97239,https://www.ohsu.edu/,(503) 494-3103,
"Paley Family Planning, Einstein Medical Center Philadelphia",5501 Old York Road,Philadelphia,PA,19141,https://einstein.edu,(215) 420-0988,
Parkmed Women's Center,800 2nd Ave.,New York,NY,10017,http://parkmed.com,(212) 686-6066,
Pasadena Health Center (Planned Parenthood of Pasadena and the San Gabriel Valley),1045 N Lake Ave.,Pasadena,CA,91104,https://pppsgv.org,(626) 798-0706,
"Pembroke Pines Health Center (Planned Parenthood of South, East and North Florida, Inc.)",263 N. University Drive,Pembroke Pines,FL,33024,https://ppsenfl.org,(954) 989-5747,
Penn Family Planning and Pregnancy Loss Center,3400 Spruce Street 1000 Courtyard,Philadelphia,PA,19104,,(215) 615-5234,
"Perth Amboy Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",450 Market Street,Perth Amboy,NJ,08861,https://ppncsnj.org,(732) 442-4499,
Philadelphia Women's Center,777 Appletree St.,Philadelphia,PA,19106,http://philadelphiawomenscenter.com,(215) 574-3590,
Planned Parenthood Association of Utah,654 S 900 E,Salt Lake City,UT,84102,http://ppau.org,(801) 532-1586,
"Planned Parenthood Center for Choice, Inc.",4600 Gulf Freeway,Houston,TX,77023,http://ppcenterforchoice.org,(713) 535-2400,
Planned Parenthood Heights (Planned Parenthood of Montana),100 West Wicks Lane,Billings,MT,59105,https://ppmontana.org,(406) 869-5040,
Planned Parenthood Helena (Planned Parenthood of Montana),1500 Cannon Street,Helena,MT,59601,https://ppmontana.org,(406) 443-7676,
"Planned Parenthood Prince George’s County (Planned Parenthood of Metropolitan Washington, DC)",5001 Silver Hill Rd #105,Suitland,MD,20746,https://ppmetrodc.org,(240) 563-1220,
Planned Parenthood South Texas Surgical Center,2140 Babcock Rd,San Antonio,TX,78229,https://www.plannedparenthood.org/health-center/texas/san-antonio/78229/planned-parenthood-south-texas-medical-center-2967-91710,(800) 230-7526,(210) 736-2262
Planned Parenthood West (Planned Parenthood of Montana),1844 Broadwater #4,Billings,MT,59102,https://ppmontana.org,(406) 656-9980,
Plattsburgh Health Center (Planned Parenthood of the North Country New York),66 Brinkerhoff Street,Plattsburgh,NY,12901,https://ppncny.org,(518) 561-4430,
Portland Health Center (Planned Parenthood Northern New England),443 Congress Street,Portland,ME,04104,http://ppnne.org,(207) 797-8881,
Potomac Family Planning Center,966 Hungerford Dr.,Rockville,MD,20850,http://potomacfamilyplanning.com,(301) 251-9124,(800) 260-2464
Presidential Women's Center,100 Northpoint Pkwy.,West Palm Beach,FL,33407,http://presidentialcenter.com,(561) 686-3859,
Preterm,12000 Shaker Boulevard,Cleveland,OH,44120,http://preterm.org,(216) 991-4000,(877) 773-8376
Red River Women's Clinic,512 First Avenue North,Fargo,ND,58102,http://redriverwomensclinic.com,(701) 298-9999,(888) 928-9009
Reproductive Health Services (Planned Parenthood of the St. Louis Region and Southwest Missouri),4521 Forest Park Ave,St. Louis,MO,63108,https://ppslr.org,(314) 531-7526,
Reproductive Health Services of Montgomery,811 South Perry Street,Montgomery,AL,36104,http://rhs4choice.com,(334) 834-4988,(800) 277-0156
Reproductive Services of Tulsa,6136 East 32nd Place,Tulsa,OK,74135,http://reproductiveservicesoklahoma.com,(918) 665-6400,(800) 821-7237
Roanoke Health Center (Planned Parenthood South Atlantic),2207 Peters Creek Rd NW,Roanoke,VA,24017,https://ppsat.org,(540) 562-3457,
"Robbinsdale Clinic, P.A.",3819 W. Broadway,Robbinsdale,MN,55422,http://robbinsdaleclinic.com,(763) 533-2534,
Rochester Health Center (Planned Parenthood North Central States),1212 7th St. NW,Rochester,MN,55901,https://ppncs.org,(651) 698-2406,
Rochester Health Center (Planned Parenthood of Central and Western New York),114 University Avenue,Rochester,NY,14605,https://ppcwny.org,(585) 546-2595,
Rosenfield Center (Planned Parenthood North Central States),1000 E. Army Post Rd.,Des Moines,IA,50315,https://ppncs.org,(877) 811-7526,
Rutland Health Center (Planned Parenthood of Northern New England),11 Burnham Ave.,Rutland,VT,05701,http://ppnne.org,(802) 775-2333,
Safe and Sound,3131 La Canada Street,Las Vegas,NV,89169,http://safeandsoundforwomen.com,(702) 221-7233,
Salem Health Center (Planned Parenthood Columbia Willamette),3825 Wolverine St. NE,Salem,OR,97305,http://ppcw.org,(503)788-7273,(888) 875-7820
"San Mateao Health Center (Planned Parenthood of the Rocky Mountains, Inc.)",719 San Mateo Blvd. NE,Albuquerque,NM,87108,http://pprm.org,(505) 265-9511,
Sanford Health Center (Planned Parenthood of Northern New England),886 Main Street,Sanford,ME,04073,https://ppnne.org,(207) 324-9385,
"Santa Fe Health Center (Planned Parenthood of the Rocky Mountains, Inc.)",730 St. Michaels Drive,Santa Fe,NM,87505,http://pprm.org,(505) 982-3684,
Sarasota Health Center (Planned Parenthood of Southwest and Central Florida),736 Central Avenue,Sarasota,FL,34236,https://ppswcf.org/,(941) 953-4060,
Savannah Medical Clinic,120 East 34th St,Savannah,GA,31401,http://savannahmedicalclinic.com,(912) 236-1603,
Scotsdale Women's Center,19305 West Seven Mile Rd.,Detroit,MI,48219,http://scotsdalewomenscenter.com,(313) 538-2020,
"Shrewsbury Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",69 East Newman Springs Road,Shrewsbury,NJ,07702,https://ppncsnj.org,(732) 842-9300,
Silver Spring Family Planning,1111 Spring St.,Silver Spring,MD,20910,http://silverspringwomenscare.com,(240) 691-4390,
Sioux Falls Health Center (Planned Parenthood North Central States),6511 West 41st St.,Sioux Falls,SD,57106,https://ppncs.org,(605) 361-5100,(800) 314-7216
South Austin Abortion Services Center (Planned Parenthood of Greater Texas Surgical Health Services),201 E. Ben White Blvd.,Austin,TX,78704,https://ppgt.org,(512) 276-8000,
South Dallas Abortion Services Center (Planned Parenthood of Greater Texas Surgical Health Services),7989 West Virginia Drive,Dallas,TX,75237,https://ppgt.org,(214) 373-1868,
Southern Tier Women's Health Services LLC,149 Vestal Parkway West,Vestal,NY,13851,http://amycousinsmd.com/,(800) 676-9011,(607) 785-4171
Southwest Fort Worth Abortion Services (Planned Parenthood of Greater Texas Surgical Health Services),6464 John Ryan Drive,Fort Worth,TX,76132,https://ppgt.org,(817) 277-6610,
Southwestern Women's Options,522 Lomas Blvd. NE,Albuquerque,NM,87102,http://curtisboydmd.com,(505) 242-9592,(800) 777-7630
Southwestern Women's Surgery Center,8616 Greenville Ave.,Dallas,TX,75243,http://fairmountcenter.com,(214) 742-9310,(800) 727-2255
St. Paul Health Center  -  Vandalia (Planned Parenthood North Central States),671 Vandalia Street,St. Paul,MN,55114,https://ppncs.org,(651) 698-2406,
St. Petersburg Woman's Health Center,3401 66th Street North,St. Petersburg,FL,33710,http://tampabayabortionclinics.com,(727) 381-6620,
Stamford Hospital,1 Hospital Plaza,Stamford,CT,06902,https://stamfordhealth.org,(203) 276-2030,
"Steamboat Springs (Planned Parenthood of the Rocky Mountains, Inc.)",1104 B 11th St.,Steamboat Springs,CO,80477,http://pprm.org,(970) 879-2212,
"Summit Medical Center, Atlanta",1874 Piedmont Ave.,Atlanta,GA,30324,http://summitcenters.com,(800) 537-2985,(800) 537-2985
"Summit Medical Center, Detroit",15801 West McNichols St.,Detroit,MI,48235,http://summitcenters.com,(313) 272-8450,
Syracuse Health Center (Planned Parenthood of Central and Western New York),1120 East Genesee Street,Syracuse,NY,13210,https://ppcwny.org,(315) 475-5540,
"Tallahassee Health Center (Planned Parenthood of South, East and North Florida, Inc.)",2618 W Tennessee Street,Tallahassee,FL,32304,https://ppsenfl.org,(850) 574-7455,
Tampa Woman's Health Center,2010 East Fletcher Ave..,Tampa,FL,33612,http://tampabayabortionclinics.com,(813) 977-6176,
The Womens' Center of Houston,8200 Wednesbury Lane,Houston,TX,77074,http://www.womenscenterofhouston.com/,(713) 526-8585,
Topsham Health Center (Planned Parenthood of Northern New England),4 Bowdoin Mill Island,Topsham,ME,04086,https://ppnne.org,(207) 725-8264,
Towson Health Center (Planned Parenthood of Maryland),8501 Lasalle Rd Suite 309,Towson,MD,21286,https://ppmaryland.org,(410) 576-1414,
"Treasure Coast Health Center (Planned Parenthood of South, East and North Florida, Inc.)",1696 SE Hillmoor Dr.,Port Saint Lucie,FL,34952,https://ppsenfl.org,(772) 692-2023,
"Trenton Health Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",437 East State Street,Trenton,NJ,08608,https://ppncsnj.org,(609) 599-4881,
Troy Health Center (Upper Hudson Planned Parenthood),200 Broadway,Troy,NY,12180,https://uhpp.org,(518) 434-5678,
Trust Women  -  Wichita,5107 E Kellogg Dr,Wichita,Ks,67218,https://trustwomen.org/clinics/wichita/home,(316) 260-6934,
Trust Women-Oklahoma City,1240 S.W. 44th Street,Oklahoma City,OK,73109,https://trustwomen.org/clinics/oklahoma-city/home,(405) 429-7940,
UCLA Hospital and Clinics,1010 Veteran Avenue,Los Angeles,CA,90025,http://obgyn.ucla.edu/obgyn-locations,(310) 825-5961,
"UCSF Family Planning Services, Mt. Zion",2356 Sutter Street,San Francisco,CA,94115,https://www.ucsfhealth.org/clinics/womens-options-center,(415) 353-7003,
"University of Illinois Medical Center, Center for Reproductive Health",820 S. Wood St. MC 808,Chicago,IL,60612,http://uic.edu/orgs/womenshealth/CRH.htm,(312) 413-8553,
"University of New Mexico, Center for Reproductive Health",2301 Yale Bldg SE,Albuquerque,NM,87106,http://unmcrh.org,(505) 925-4455,
"University of North Carolina at Chapel Hill, North Carolina Women's Hospital",D4002 Old Clinic Building,Chapel Hill,NC,27599,https://www.med.unc.edu/obgyn/family-planning/,(919) 843-5633,
University of Washington Medical Center,1959 NE Pacific Street,Seattle,WA,98195,http://uwmedicine.org/familyplanning,(206) 598-5500,
University Women's Services,300 Halket St,Pittsburgh,PA,15213,,(412) 641-5451,
Vancouver Health Center (Planned Parenthood Columbia Willamette),11516 SE Mill Plain Blvd.,Vancouver,WA,98684,http://ppcw.org,(503) 788-7273,(888) 875-7820
Wasatch Women's Center,715 E. 3900 Street S.,Salt Lake City,UT,84109,http://wasatchwomenscenter.net/,(801) 263-2111,
"Washington Health Center (Planned Parenthood of Northern, Central and Southern New Jersey, Inc.)",66 East Washington Avenue,Washington,NJ,07882,https://ppncsnj.org,(908) 454-3000,
Washington Hospital Center,106 Irving St. NW,Washington,DC,20010,http://gynpages.com/dcabortionclinic,(202) 877-7479,
Washington Surgi-Clinic,2112 F St. NW,Washington,DC,20037,https://www.washingtonsurgi-clinic.com/,(202) 659-9403,
Watertown Health Center (Planned Parenthood of the North Country New York),160 Stone Street,Watertown,NY,13601,https://ppncny.org,(315) 788-8065,
"WE Health Clinic, P.A.",32 E First Street,Duluth,MN,55808,https://wehealthclinic.org/,(256) 536-2231,(218) 727-3352
"Wellington Health Center (Planned Parenthood of South, East and North Florida, Inc.)",10111 Forest Hill Blvd.,Wellington,FL,33414,https://ppsenfl.org,(561) 296-4919,
West Alabama Women's Center,535 Jack Warner Parkway NW,Tuscaloosa,AL,35404,https://alabortionclinic.com/,(205) 556-2026,(800) 616-2383
West End Women's Medical Group,5915 Tyrone Rd.,Reno,NV,89502,http://abortion.cc,(775) 827-0616,
West Seneca Health Center (Planned Parenthood of Central and Western New York),240 Center Road,West Seneca,NY,14224,https://ppcwny.org,(716) 831-2200,(800) 230-7526
Western Massachusetts Health Center (Planned Parenthood League of Massachusetts),3550 Main Street,Springfield,MA,01107,https://pplm.org,(800) 258-4448,
White River Junction Health Center (Planned Parenthood of Northern New England),79 South Main Street,White River Junction,VT,05001,https://ppnne.org,(802) 281-6056,
Whole Woman's Health and Family Center of Alexandria,2839 Duke St,Alexandria,VA,22314,https://www.wholewomanshealth.com/clinic/alexandria/,(703)751-4702,
Whole Woman's Health of Austin,4100 Duval Rd. Suite 201,Austin,TX,78759,https://www.wholewomanshealth.com/clinic/austin/,(512) 250-1005,
Whole Woman's Health of Baltimore,7648 Belair Rd.,Baltimore,MD,21236,https://www.wholewomanshealth.com/clinic/baltimore/,(410) 661-2900,
Whole Woman's Health of Fort Worth,3256 Lackland Rd.,Fort Worth,TX,76116,https://www.wholewomanshealth.com/clinic/fort-worth/,(817) 924-6641,
Whole Woman's Health of McAllen,802 South Main St.,McAllen,TX,78501,https://www.wholewomanshealth.com/clinic/mcallen/,(956) 686-2137,
Whole Woman's Health of the Twin Cities,8053 E Bloomington Fwy,Bloomington,MN,55420,http://wholewomanshealth.com/twin-cities,(612) 376-7708,(877) 835-1090
Whole Women's Health of Charlottesville,2321 Commonwealth Drive,Charlottesville,VA,22901,https://www.wholewomanshealth.com/clinic/charlottesville/,(434) 973-4888,
Whole Women's Health of South Bend,3511 Lincoln Way W,South Bend,IN,46628,https://www.wholewomanshealth.com/clinic/south-bend/,(574) 232-2070,
Williston Health Center (Planned Parenthood of Northern New England),75 Talcott Road,Williston,VT,05495,https://ppnne.org,(802) 879-4800,
Wilmington Center (Planned Parenthood of Delaware),625 N Shipley St,Wilmington,DE,19801,http://ppde.org,(302) 678-5200,
Wilmington Health Center (Planned Parenthood South Atlantic),1925 Tradd Ct.,Wilmington,NC,28401,https://ppsat.org,(910) 762-5566,
Winston-Salem Health Center (Planned Parenthood South Atlantic),3000 Maplewood Ave,Winston-Salem,NC,27103,https://ppsat.org,(336) 768-2980,
Women's Community Clinic,1735 Mission Street,San Francisco,CA,94115,http://womenscommunityclinic.org/,(415) 379-7800,
Women's Health Care Center,2701 General Pershing Street,New Orleans,LA,70115,http://www.womenshealthcarecenter.com/,(504) 899-6010,
Women's Health Care Center-Flint,G-3422 Flushing Road,Flint,MI,48504,https://whcofmi.com/,(810) 230-1300,(800) 336-4471
Women's Health Care Center-Saginaw,3141 S. Cabaret Trail,Saginaw,MI,48603,https://whcofmi.com/,(989) 790-1040,(800) 660-6234
Women's Health Center of West Virginia,510 W Washington St,Charleston,WV,25302,http://whcwva.com,(304) 344-9834,(800) 642-8670
Women's Health Services,111 Harvard St.,Brookline,MA,02446,http://womenshealthservice.com,(617) 277-0009,
Women's Health Specialists  -  Chico,1469 Humboldt Road,Chico,CA,95928,http://womenshealthspecialists.org,(530) 891-1917,Spanish/español: (800) 714-8151
Women's Health Specialists  -  Grass Valley,984 Plaza Drive Suite S,Grass Valley,CA,95945,https://www.womenshealthspecialists.org/,(800) 714-8151,
Women's Health Specialists  -  Redding,1901 Victor Avenue,Redding,CA,96004,http://womenshealthspecialists.org,(530) 221-0194,Spanish/español: (800) 714-8151
Women's Med Center of Dayton,1401 East Stroop Rd.,Dayton,OH,45429,http://womensmedcenter.com,(937) 293-3917,(800) 672-6810
Women's OB/GYN Center of Countryside (Clearwater),28960 Hwy 19 N.,Clearwater,FL,33761,http://floridaabortion.com,(727) 785-2525,(800) 827-0082
"Women's Options Center, San Francisco General (UCSF)",1001 Potrero Avenue,San Francisco,CA,94110,https://womensoptionscenter.org/,(628) 206-8476,
Your Choice Healthcare of Columbus,6721 Karl Road,Columbus,OH,43229,https://www.yourchoicecbus.com/,(614) 927-0500,
